frequency, MAG[S21]*MAG[21], MAG[S31]*MAG[31], MAG[S41]*MAG[41]
268,0.0000013419832336,0.0000224468435961,0.023550278521
268.5,0.0000013675431364,0.0000223508636289,0.022119720529
269,0.0000013944067225,0.0000222511267521,0.020791332864
269.5,0.0000014227241284,0.0000221481301924,0.019557463104
270,0.0000014525793529,0.0000220426494016,0.018409876489
270.5,0.00000148401124,0.0000219352659201,0.017341992721
271,0.0000015172080625,0.0000218265561721,0.016347668164
271.5,0.0000015523664836,0.0000217169048196,0.015421169124
272,0.0000015896670724,0.0000216068788224,0.014557387716
272.5,0.0000016292990736,0.0000214969467904,0.013751549289
273,0.0000016714611225,0.0000213877575961,0.012999192196
273.5,0.0000017164144144,0.0000212794922209,0.012296148544
274,0.0000017644074561,0.00002117288196,0.011639173225
274.5,0.00000181575625,0.0000210681918001,0.011024580004
275,0.0000018708221284,0.0000209659588996,0.010449337284
275.5,0.0000019299322084,0.000020866624,0.00991083963024
276,0.0000019935745636,0.0000207707151001,0.009406284196
276.5,0.0000020622396025,0.0000206785739169,0.00893331206244
277,0.0000021364791889,0.0000205909027984,0.0084897796
277.5,0.0000022169423236,0.00002050821796,0.00807363349156
278,0.0000023043847204,0.0000204310328049,0.007683048409
278.5,0.0000023996798281,0.0000203600390841,0.00731628754609
279,0.0000025038315225,0.0000202958359081,0.00697181580676
279.5,0.0000026180534416,0.0000202392914161,0.00664816821769
